C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
-35.435969,-70.912425,-55.789271,-67.211054,-37.190211,-62.065196,-58.323233,-46.092582,-62.760541,-59.742591,-63.780629,-50.461866,0.000000
-35.188799,-64.751393,-57.887272,-68.808847,-37.859182,-65.398581,-60.846220,-47.085427,-61.305768,-66.657053,-60.463860,-55.746790,0.000000
-35.534164,-68.470776,-57.949759,-69.489508,-37.304492,-64.479985,-60.194698,-46.851085,-66.132743,-59.238157,-67.495036,-50.356148,0.000000
-36.222124,-74.315564,-60.143149,-66.643460,-36.357616,-64.046934,-60.430221,-47.616977,-58.625220,-64.213026,-63.985499,-53.958476,0.000000
-35.408982,-69.573887,-58.007906,-66.551073,-36.412923,-64.254940,-65.342779,-46.956990,-67.530546,-63.294461,-65.976709,-51.361765,0.000000
-34.611125,-68.303484,-58.596293,-64.362071,-36.259352,-64.349802,-63.673721,-46.503574,-65.680310,-59.764398,-69.690369,-54.853556,0.000000
-34.534459,-73.269388,-54.795876,-63.699855,-36.378952,-63.162059,-61.575625,-44.795261,-61.465924,-59.007494,-62.824706,-47.201788,0.000000
-30.048758,-68.278587,-49.259078,-64.956063,-33.133235,-55.991334,-64.229554,-44.614820,-64.890286,-56.971161,-61.162444,-49.652063,0.000000
-29.447059,-70.938406,-49.252410,-64.594593,-31.566071,-57.000383,-60.547342,-43.981980,-63.520548,-62.070779,-64.532559,-48.014347,0.000000
-30.833178,-71.528164,-56.150088,-63.081965,-31.768687,-60.586465,-60.293433,-42.029835,-61.953179,-58.882044,-63.626485,-49.177550,0.000000
-29.895677,-67.898476,-55.095055,-61.680594,-32.028937,-60.574742,-60.635064,-41.141375,-61.531321,-58.706697,-63.994263,-46.700452,0.000000
-32.081428,-67.768873,-50.542150,-63.444239,-32.404020,-59.199739,-59.018724,-43.076916,-63.540155,-61.432154,-67.510040,-47.053927,0.000000
-30.996190,-67.574044,-51.685767,-63.655169,-32.969351,-63.078329,-60.865279,-44.622439,-64.481384,-56.542350,-63.139357,-48.874962,0.000000
-31.516374,-66.779490,-51.495748,-61.416017,-32.402155,-59.891582,-57.724790,-42.340997,-62.515297,-55.415418,-63.362810,-47.500861,0.000000
-31.285903,-72.290540,-50.238390,-65.223560,-32.622639,-57.636701,-64.456562,-42.560254,-64.087438,-53.576544,-63.831920,-45.823945,0.000000
-33.852425,-67.515264,-53.310980,-65.405338,-36.482383,-61.653654,-66.695753,-43.868642,-67.686971,-59.548796,-63.207556,-49.458309,0.000000
-34.330978,-68.982483,-55.617263,-68.515212,-35.728080,-64.205901,-64.277379,-45.733612,-66.751476,-58.300818,-64.821100,-48.338610,0.000000
-47.718840,-69.311109,-56.580526,-63.446906,-36.050472,-59.234708,-59.170921,-43.287396,-60.307404,-60.213939,-66.005467,-51.525448,0.000000
-31.777792,-67.404375,-49.397218,-65.647352,-33.355950,-59.133642,-63.387562,-45.313025,-65.625702,-63.146589,-64.553750,-47.531690,0.000000
-36.773524,-67.516030,-50.595098,-61.051587,-32.375201,-57.916957,-60.438156,-44.736161,-65.375299,-59.626467,-64.931836,-48.717343,0.000000
-35.296107,-69.404192,-55.323682,-63.619129,-33.899902,-59.656517,-58.893957,-43.306347,-61.218238,-59.828556,-63.326966,-48.658503,0.000000
-34.969545,-72.674050,-55.059379,-61.647681,-34.311181,-59.052187,-60.077984,-43.751746,-67.046517,-61.511907,-64.952997,-47.584687,0.000000
-34.493808,-69.616982,-57.373867,-63.514909,-31.818073,-61.749182,-59.262649,-42.912672,-63.243921,-62.262527,-66.818285,-51.857069,0.000000
-35.004056,-71.423009,-53.186103,-65.258754,-33.320698,-59.630448,-58.529865,-43.909050,-65.271727,-61.629643,-64.697807,-49.598162,0.000000
-35.694211,-73.403508,-56.631082,-67.193623,-35.402284,-63.911554,-58.683714,-46.041873,-63.924750,-61.743041,-61.179836,-52.664658,0.000000
-34.631578,-73.730580,-55.644248,-63.776983,-36.641261,-63.412417,-59.512435,-43.979678,-62.234802,-56.950687,-65.912238,-48.236769,0.000000
-34.429463,-66.725952,-56.716005,-63.978831,-34.719332,-61.107182,-59.568293,-44.268045,-62.125486,-56.104964,-63.883348,-49.451422,0.000000
